ID, TIME, X, Y, Z
1, 5.595119, 0.008499, -0.297010, -0.011601
1, 5.612006, 0.010971, -0.298725, -0.002313
1, 5.629316, 0.007344, -0.300446, 0.006281
1, 5.647511, 0.008861, -0.302532, 0.012200
1, 5.665107, 0.012012, -0.305010, 0.015951
1, 5.683816, 0.009107, -0.307729, 0.018845
1, 5.701772, 0.009895, -0.310094, 0.023258
1, 5.720019, 0.009952, -0.312281, 0.027580
1, 5.738445, 0.011697, -0.313999, 0.033732
1, 5.756707, 0.012491, -0.317395, 0.036812
1, 5.774436, 0.011113, -0.320443, 0.042465
1, 5.797179, 0.012521, -0.322954, 0.047503
1, 5.814145, 0.011330, -0.325637, 0.052388
1, 5.832149, 0.007407, -0.325616, 0.063181
1, 5.850145, 0.003862, -0.329133, 0.064216
1, 5.867726, 0.004497, -0.332276, 0.067088
1, 5.885105, 0.002644, -0.336151, 0.066482
1, 5.903326, 0.002232, -0.337752, 0.072135
1, 5.922253, -0.000360, -0.339361, 0.077123
1, 5.939942, -0.005255, -0.340777, 0.080956
1, 5.957558, -0.006802, -0.342391, 0.084248
1, 5.974929, -0.007089, -0.342270, 0.090751
1, 5.992804, -0.005339, -0.342030, 0.096948
1, 6.009853, -0.005256, -0.343167, 0.099397
1, 6.027169, -0.007223, -0.347265, 0.093933
1, 6.044696, -0.008262, -0.350764, 0.086993
1, 6.061596, -0.006722, -0.353056, 0.084298
1, 6.078362, -0.007027, -0.353497, 0.084598
1, 6.094994, -0.007826, -0.354525, 0.083541
1, 6.112264, -0.005254, -0.356685, 0.080089
1, 6.129372, -0.001680, -0.359061, 0.070342
1, 6.146420, -0.002851, -0.359818, 0.068288
1, 6.163560, -0.002601, -0.358272, 0.071937
1, 6.180747, -0.005416, -0.358385, 0.071682
1, 6.198260, -0.012491, -0.359226, 0.063122
1, 6.216468, -0.010253, -0.358503, 0.065517
1, 6.233756, -0.007630, -0.358612, 0.065025
1, 6.252129, -0.004591, -0.358523, 0.064992
1, 6.270551, -0.007021, -0.359670, 0.057113
1, 6.288077, -0.011685, -0.360813, 0.046197
1, 6.307592, -0.007582, -0.362089, 0.039078
1, 6.326016, -0.004362, -0.363386, 0.036100
1, 6.344030, -0.000666, -0.364204, 0.032836
1, 6.361683, -0.006875, -0.364893, 0.026271
1, 6.379169, -0.004399, -0.365506, 0.022777
1, 6.396458, -0.008451, -0.365324, 0.009926
1, 6.414717, -0.005002, -0.365310, 0.000002
1, 6.432301, 0.006650, -0.365093, -0.001742
1, 6.450250, -0.000840, -0.365605, 0.001131
1, 6.468005, 0.003005, -0.364889, -0.011817
1, 6.486247, 0.003297, -0.365777, -0.016032
1, 6.505301, 0.018096, -0.364743, -0.016992
1, 6.524963, 0.020678, -0.365402, -0.023406
1, 6.543804, 0.031657, -0.364540, -0.019460
1, 6.562200, 0.024514, -0.365457, -0.022008
1, 6.579448, 0.024487, -0.365632, -0.026001
1, 6.597514, 0.026349, -0.365542, -0.028678
